nw_dst=174.181.127.243/32, tp_src=67, tp_dst=64
nw_dst=174.181.127.238/32, tp_src=67, tp_dst=16384
nw_src=112.43.69.54/32, nw_dst=182.129.76.254/32, tp_src=67, tp_dst=4096, dl_dst=fa:16:3e:67:5a:03
nw_proto=6, nw_dst=90.110.1.104/32, tp_dst=64512, dl_dst=fa:16:3e:a2:56:de, eth_type=0x800
nw_proto=6, nw_src=248.253.173.119/32, tp_dst=65504, dl_src=fa:16:3e:82:d4:d6, eth_type=0x800
nw_proto=6, nw_dst=90.110.206.228/32, tp_dst=4096, dl_dst=fa:16:3e:b1:6d:3e, eth_type=0x800
nw_proto=17, nw_src=250.89.193.131/32, tp_dst=4, dl_src=fa:16:3e:c9:f8:0d, eth_type=0x800
nw_proto=6, nw_dst=64.138.183.184/32, tp_dst=16384, dl_dst=fa:16:3e:59:6c:b2, eth_type=0x800
nw_proto=6, nw_dst=65.106.60.66/32, tp_dst=128, dl_dst=fa:16:3e:64:67:ef, eth_type=0x800
nw_proto=17, nw_dst=174.181.86.90/32, tp_dst=64, dl_dst=fa:16:3e:e7:2a:ab, eth_type=0x800
nw_proto=6, nw_dst=174.181.83.173/32, tp_dst=2, dl_dst=fa:16:3e:fe:42:ae, eth_type=0x800
nw_proto=17, nw_dst=174.181.83.173/32, tp_dst=32768, dl_dst=fa:16:3e:28:b9:55, eth_type=0x800
nw_proto=6, nw_dst=174.181.83.173/32, tp_dst=32768, dl_dst=01:00:00:b4:5f:6a, eth_type=0x800
nw_proto=17, nw_dst=174.181.83.173/32, tp_dst=512, dl_dst=fa:16:3e:c5:20:75, eth_type=0x800
nw_proto=6, nw_dst=174.181.76.7/32, tp_dst=4, dl_dst=fa:16:3e:7c:bd:c0, eth_type=0x800
nw_proto=6, nw_dst=174.181.67.38/32, tp_dst=64, dl_dst=fa:16:3e:64:70:10, eth_type=0x800
nw_proto=17, nw_dst=174.181.67.58/32, tp_dst=4, dl_dst=fa:16:3e:d4:3c:fa, eth_type=0x800
nw_proto=17, nw_dst=174.181.67.58/32, tp_dst=16, dl_dst=fa:16:3e:5f:e5:9d, eth_type=0x800
nw_proto=17, nw_src=115.68.217.76/32, tp_dst=4, dl_src=fa:16:3e:59:fc:84, eth_type=0x800
nw_proto=17, nw_src=115.68.217.69/32, tp_dst=16384, dl_src=fa:16:3e:e8:40:bb, eth_type=0x800
nw_proto=17, nw_dst=174.181.127.243/32, tp_dst=128, dl_dst=fa:16:3e:68:85:19, eth_type=0x800
nw_proto=17, nw_dst=174.181.127.243/32, tp_dst=64, dl_dst=fa:16:3e:33:09:6d, eth_type=0x800
nw_proto=6, nw_dst=174.181.127.243/32, tp_dst=256, dl_dst=fa:16:3e:e2:6e:5a, eth_type=0x800
nw_proto=6, nw_dst=174.181.127.243/32, tp_dst=63488, dl_dst=fa:16:3e:d5:90:07, eth_type=0x800
nw_proto=17, nw_dst=174.181.127.243/32, tp_dst=2, dl_dst=fa:16:3e:23:c6:41, eth_type=0x800
nw_proto=17, nw_dst=174.181.127.243/32, tp_dst=4, dl_dst=fa:16:3e:c1:c0:38, eth_type=0x800
nw_proto=17, nw_src=115.68.217.112/32, tp_dst=64, dl_src=fa:16:3e:8e:f7:f6, eth_type=0x800
nw_proto=6, nw_dst=174.181.127.238/32, tp_dst=68, dl_dst=fa:16:3e:43:62:ce, eth_type=0x800
nw_proto=6, nw_dst=174.181.127.238/32, tp_dst=1024, dl_dst=fa:16:3e:0a:7d:a6, eth_type=0x800
nw_proto=6, nw_src=112.43.66.213/32, tp_dst=8192, dl_src=fa:16:3e:19:68:e0, eth_type=0x800
nw_proto=6, nw_src=112.43.66.212/32, tp_dst=256, dl_src=fa:16:3e:61:8a:f1, eth_type=0x800
nw_proto=6, nw_src=112.43.66.216/32, tp_dst=16384, dl_src=fa:16:3e:5c:39:d3, eth_type=0x800
nw_proto=17, nw_dst=174.181.127.162/32, tp_dst=32, dl_dst=fa:16:3e:57:fe:6e, eth_type=0x800
nw_proto=17, nw_dst=174.181.127.162/32, tp_dst=256, dl_dst=fa:16:3e:51:dd:35, eth_type=0x800
nw_proto=6, nw_dst=174.181.127.162/32, tp_dst=32, dl_dst=fa:16:3e:f4:8c:39, eth_type=0x800
nw_proto=17, nw_dst=174.181.127.162/32, tp_dst=67, dl_dst=fa:16:3e:b5:f1:5f, eth_type=0x800
nw_proto=17, nw_dst=174.181.127.162/32, tp_dst=4096, dl_dst=fa:16:3e:27:11:92, eth_type=0x800
nw_proto=6, nw_src=112.43.66.98/32, tp_dst=4, dl_src=fa:16:3e:8d:bd:cd, eth_type=0x800
nw_proto=17, nw_dst=174.181.127.162/32, tp_dst=4, dl_dst=fa:16:3e:c7:b9:81, eth_type=0x800
nw_proto=17, nw_dst=174.181.127.162/32, tp_dst=16, dl_dst=fa:16:3e:c5:1d:19, eth_type=0x800
nw_proto=6, nw_dst=174.181.127.162/32, tp_dst=32768, dl_dst=fa:16:3e:69:2e:89, eth_type=0x800
nw_proto=6, nw_dst=174.181.127.162/32, tp_dst=4096, dl_dst=fa:16:3e:90:93:44, eth_type=0x800
nw_proto=17, nw_dst=174.181.127.162/32, tp_dst=1024, dl_dst=fa:16:3e:98:c8:cf, eth_type=0x800
nw_proto=17, nw_dst=174.181.127.162/32, tp_dst=4, dl_dst=fa:16:3e:8f:5e:f0, eth_type=0x800
nw_proto=6, nw_dst=174.181.127.162/32, tp_dst=4, dl_dst=fa:16:3e:58:cb:f7, eth_type=0x800
nw_proto=6, nw_dst=174.181.127.162/32, tp_dst=1, dl_dst=fa:16:3e:27:5d:a1, eth_type=0x800
nw_proto=6, nw_dst=174.181.127.162/32, tp_dst=2, dl_dst=fa:16:3e:98:c0:5e, eth_type=0x800
nw_proto=17, nw_dst=174.181.127.162/32, tp_dst=512, dl_dst=fa:16:3e:91:90:fe, eth_type=0x800
nw_proto=6, nw_dst=174.181.127.162/32, tp_dst=1024, dl_dst=fa:16:3e:6f:15:2f, eth_type=0x800
nw_proto=17, nw_dst=177.247.228.87/32, tp_dst=64, dl_dst=fa:16:3e:31:6b:a9, eth_type=0x800
nw_proto=6, nw_dst=177.247.228.76/32, tp_dst=16384, dl_dst=fa:16:3e:48:eb:96, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.254/32, tp_dst=128, dl_dst=fa:16:3e:32:3b:3c, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.254/32, tp_dst=8192, dl_dst=fa:16:3e:66:c3:21, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.254/32, tp_dst=512, dl_dst=fa:16:3e:e0:a0:30, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.254/32, tp_dst=68, dl_dst=fa:16:3e:86:0c:60, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.254/32, tp_dst=32768, dl_dst=fa:16:3e:9e:6c:11, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.254/32, tp_dst=32768, dl_dst=fa:16:3e:0b:5b:4f, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.254/32, tp_dst=256, dl_dst=fa:16:3e:dd:5c:45, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.254/32, tp_dst=8, dl_dst=fa:16:3e:9e:28:d2, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.254/32, tp_dst=512, dl_dst=fa:16:3e:92:9e:cb, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.254/32, tp_dst=1024, dl_dst=fa:16:3e:e7:97:54, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.254/32, tp_dst=2048, dl_dst=fa:16:3e:1c:10:12, eth_type=0x800
nw_proto=17, nw_src=112.43.69.58/32, tp_dst=16, dl_src=fa:16:3e:82:56:7a, eth_type=0x800
nw_proto=17, nw_src=112.43.69.26/32, tp_dst=32768, dl_src=fa:16:3e:ee:fb:5f, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.254/32, tp_dst=1024, dl_dst=fa:16:3e:69:0b:6d, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.254/32, tp_dst=1, dl_dst=fa:16:3e:93:e3:94, eth_type=0x800
nw_proto=6, nw_src=112.43.69.28/32, tp_dst=38365, dl_src=fa:16:3e:22:ae:2e, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.254/32, tp_dst=512, dl_dst=fa:16:3e:4c:f7:43, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.254/32, tp_dst=8, dl_dst=fa:16:3e:75:45:9a, eth_type=0x800
nw_proto=17, nw_src=112.43.69.30/32, tp_dst=32, dl_src=fa:16:3e:f6:2e:fa, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.254/32, tp_dst=67, dl_dst=fa:16:3e:b6:d3:58, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.254/32, tp_dst=32, dl_dst=fa:16:3e:a8:f6:80, eth_type=0x800
nw_proto=17, nw_src=112.43.69.31/32, tp_dst=2048, dl_src=fa:16:3e:a3:5b:da, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=68, dl_dst=fa:16:3e:48:e0:97, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=16384, dl_dst=fa:16:3e:52:dd:27, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=8192, dl_dst=fa:16:3e:ee:93:ec, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=16384, dl_dst=fa:16:3e:e6:47:3e, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=32768, dl_dst=fa:16:3e:ae:c5:69, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=8192, dl_dst=fa:16:3e:91:eb:bd, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=63488, dl_dst=fa:16:3e:e3:bb:0f, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=32768, dl_dst=fa:16:3e:58:fc:c2, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=2, dl_dst=fa:16:3e:68:86:94, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=1024, dl_dst=fa:16:3e:87:c0:d0, eth_type=0x800
nw_proto=6, nw_src=112.43.69.22/32, tp_dst=64, dl_src=fa:16:3e:81:ce:96, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=128, dl_dst=fa:16:3e:bb:8e:a3, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=256, dl_dst=fa:16:3e:a7:73:20, eth_type=0x800
nw_proto=17, nw_src=112.43.69.22/32, tp_dst=1, dl_src=fa:16:3e:db:6e:60, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=512, dl_dst=fa:16:3e:22:b3:09, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=1, dl_dst=fa:16:3e:3e:41:7a, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=68, dl_dst=fa:16:3e:ed:c2:a0, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=32768, dl_dst=fa:16:3e:c5:1d:4e, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=32, dl_dst=fa:16:3e:89:3c:b1, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=49152, dl_dst=fa:16:3e:24:e1:f4, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=128, dl_dst=fa:16:3e:18:21:61, eth_type=0x800
nw_proto=6, nw_src=12.244.193.156/32, tp_dst=32, dl_src=fa:16:3e:ac:a0:80, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=16, dl_dst=fa:16:3e:7e:7e:0b, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=16384, dl_dst=fa:16:3e:d9:7c:7b, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=61440, dl_dst=fa:16:3e:87:2f:27, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=49152, dl_dst=fa:16:3e:b0:05:89, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=16384, dl_dst=fa:16:3e:da:69:dd, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=68, dl_dst=fa:16:3e:b4:f4:72, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=64, dl_dst=fa:16:3e:40:7c:0a, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=256, dl_dst=fa:16:3e:70:93:bf, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=32, dl_dst=fa:16:3e:9f:ce:5a, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=2, dl_dst=fa:16:3e:88:50:6b, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=68, dl_dst=fa:16:3e:fc:aa:e8, eth_type=0x800
nw_proto=17, nw_src=28.173.26.73/32, tp_dst=1024, dl_src=fa:16:3e:35:9e:9c, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=8, dl_dst=fa:16:3e:e2:71:c8, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=8192, dl_dst=fa:16:3e:af:8a:65, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=64, dl_dst=fa:16:3e:b4:0f:66, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=8, dl_dst=fa:16:3e:93:06:04, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=256, dl_dst=fa:16:3e:6b:51:22, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=2, dl_dst=fa:16:3e:da:8e:1e, eth_type=0x800
nw_proto=6, nw_src=28.173.26.78/32, tp_dst=1, dl_src=fa:16:3e:c5:b8:03, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=1, dl_dst=fa:16:3e:44:6f:10, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=65408, dl_dst=fa:16:3e:85:21:ee, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=32, dl_dst=fa:16:3e:aa:54:7f, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=2, dl_dst=fa:16:3e:48:52:b8, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=1, dl_dst=fa:16:3e:f0:60:59, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=8192, dl_dst=fa:16:3e:5f:04:2f, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=256, dl_dst=fa:16:3e:fe:53:65, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=65408, dl_dst=fa:16:3e:f8:5c:b6, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=67, dl_dst=fa:16:3e:ab:9a:66, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=4, dl_dst=fa:16:3e:1d:0d:96, eth_type=0x800
nw_proto=6, nw_src=28.173.26.176/32, tp_dst=512, dl_src=fa:16:3e:f4:5c:e8, eth_type=0x800
nw_proto=6, nw_dst=182.129.76.84/32, tp_dst=256, dl_dst=fa:16:3e:cd:ce:36, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=16, dl_dst=fa:16:3e:d9:3b:91, eth_type=0x800
nw_proto=17, nw_dst=182.129.76.84/32, tp_dst=32768, dl_dst=fa:16:3e:db:0a:db, eth_type=0x800
nw_proto=6, nw_dst=216.140.49.56/32, tp_dst=57344, dl_dst=fa:16:3e:7b:07:b8, eth_type=0x800
nw_proto=6, nw_dst=216.140.55.147/32, tp_dst=32, dl_dst=fa:16:3e:99:76:5c, eth_type=0x800
nw_proto=17, nw_dst=216.140.43.169/32, tp_dst=65472, dl_dst=fa:16:3e:e3:ae:e5, eth_type=0x800
nw_proto=6, nw_dst=216.140.43.169/32, tp_dst=32, dl_dst=fa:16:3e:00:9d:1d, eth_type=0x800
nw_proto=17, nw_dst=216.140.5.216/32, tp_dst=8, dl_dst=fa:16:3e:f9:01:4c, eth_type=0x800
nw_proto=17, nw_dst=216.140.5.216/32, tp_dst=4096, dl_dst=fa:16:3e:77:ab:a0, eth_type=0x800
nw_proto=17, nw_dst=216.140.4.139/32, tp_dst=128, dl_dst=fa:16:3e:c7:01:b7, eth_type=0x800
nw_proto=17, nw_dst=216.140.4.139/32, tp_dst=2048, dl_dst=fa:16:3e:21:9d:b2, eth_type=0x800
nw_proto=6, nw_dst=216.140.4.139/32, tp_dst=512, dl_dst=fa:16:3e:12:a1:d2, eth_type=0x800
nw_proto=17, nw_dst=216.100.48.41/32, tp_dst=8, dl_dst=fa:16:3e:c3:97:42, eth_type=0x800
nw_proto=17, nw_dst=216.100.55.192/32, tp_dst=8, dl_dst=fa:16:3e:78:22:b9, eth_type=0x800
nw_proto=17, nw_dst=216.100.30.217/32, tp_dst=256, dl_dst=fa:16:3e:09:01:cd, eth_type=0x800
nw_proto=17, nw_dst=216.100.13.13/32, tp_dst=256, dl_dst=fa:16:3e:68:8a:db, eth_type=0x800
nw_proto=6, nw_src=28.173.26.184/32, tp_dst=4096, dl_src=fa:16:3e:5f:99:4e, eth_type=0x800
nw_proto=17, nw_dst=216.97.90.135/32, tp_dst=1024, dl_dst=fa:16:3e:81:30:68, eth_type=0x800
nw_proto=17, nw_dst=216.97.90.135/32, tp_dst=4096, dl_dst=fa:16:3e:10:da:df, eth_type=0x800
nw_proto=17, nw_dst=216.97.91.224/32, tp_dst=512, dl_dst=fa:16:3e:8d:b8:f5, eth_type=0x800
nw_proto=6, nw_dst=216.97.91.224/32, tp_dst=512, dl_dst=fa:16:3e:9e:22:1f, eth_type=0x800
nw_proto=17, nw_dst=216.97.91.252/32, tp_dst=4096, dl_dst=fa:16:3e:83:cb:35, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=512, dl_dst=fa:16:3e:bb:b1:be, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=1024, dl_dst=fa:16:3e:bb:e8:2c, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=128, dl_dst=fa:16:3e:c1:4d:8b, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=67, dl_dst=fa:16:3e:ea:72:b2, eth_type=0x800
nw_proto=17, nw_src=21.188.215.57/32, tp_dst=1024, dl_src=fa:16:3e:8a:4c:7c, eth_type=0x800
nw_proto=17, nw_src=21.188.214.90/32, tp_dst=38356, dl_src=fa:16:3e:40:20:3f, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=68, dl_dst=fa:16:3e:95:ca:c0, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=64, dl_dst=fa:16:3e:40:8e:ad, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=65534, dl_dst=fa:16:3e:73:b5:2c, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=67, dl_dst=fa:16:3e:6d:19:23, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=8, dl_dst=fa:16:3e:c4:59:06, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=8, dl_dst=fa:16:3e:75:47:34, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=8, dl_dst=fa:16:3e:23:08:04, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=256, dl_dst=fa:16:3e:e6:e8:a7, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=16, dl_dst=fa:16:3e:54:f2:f8, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=2048, dl_dst=fa:16:3e:be:c4:28, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=64, dl_dst=fa:16:3e:85:90:70, eth_type=0x800
nw_proto=17, nw_src=21.188.213.22/32, tp_dst=57344, dl_src=fa:16:3e:0a:fc:51, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=32768, dl_dst=fa:16:3e:f4:4c:1a, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=64, dl_dst=fa:16:3e:39:45:3e, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=512, dl_dst=fa:16:3e:3d:43:0c, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=16, dl_dst=fa:16:3e:8c:fd:05, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=2, dl_dst=fa:16:3e:54:64:99, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=4, dl_dst=fa:16:3e:06:67:b5, eth_type=0x800
nw_proto=6, nw_src=21.188.213.113/32, tp_dst=16384, dl_src=fa:16:3e:75:6d:80, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=68, dl_dst=fa:16:3e:57:36:d0, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=8192, dl_dst=fa:16:3e:b7:89:05, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=64, dl_dst=fa:16:3e:69:a3:ee, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=4096, dl_dst=fa:16:3e:01:37:71, eth_type=0x800
nw_proto=6, nw_src=21.188.213.188/32, tp_dst=64, dl_src=fa:16:3e:cf:0f:c9, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=4096, dl_dst=fa:16:3e:54:a8:23, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=4096, dl_dst=fa:16:3e:af:db:00, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=128, dl_dst=fa:16:3e:69:79:d0, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=2, dl_dst=fa:16:3e:71:87:a2, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=16, dl_dst=fa:16:3e:80:63:a9, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=68, dl_dst=fa:16:3e:50:d7:f2, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=1024, dl_dst=fa:16:3e:48:a4:5b, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=4, dl_dst=fa:16:3e:ee:21:37, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=32, dl_dst=fa:16:3e:b2:10:af, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=16, dl_dst=fa:16:3e:e0:1c:c0, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=1024, dl_dst=fa:16:3e:09:21:5d, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=32, dl_dst=fa:16:3e:68:b2:64, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=32, dl_dst=fa:16:3e:c4:37:40, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=4, dl_dst=fa:16:3e:54:c9:72, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=67, dl_dst=fa:16:3e:fa:d7:14, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=16, dl_dst=fa:16:3e:41:06:39, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=8, dl_dst=fa:16:3e:e3:7f:8d, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=443, dl_dst=fa:16:3e:a9:45:7e, eth_type=0x800
nw_proto=6, nw_src=23.36.117.47/32, tp_dst=32, dl_src=fa:16:3e:06:81:47, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=64, dl_dst=fa:16:3e:5e:76:64, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=65024, dl_dst=fa:16:3e:8f:6b:41, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=1, dl_dst=fa:16:3e:f1:20:61, eth_type=0x800
nw_proto=17, nw_dst=216.43.85.59/32, tp_dst=1, dl_dst=fa:16:3e:a9:24:4b, eth_type=0x800
nw_proto=6, nw_dst=216.43.85.59/32, tp_dst=4096, dl_dst=fa:16:3e:d7:32:da, eth_type=0x800
nw_proto=6, nw_src=23.36.117.39/32, tp_dst=4, dl_src=fa:16:3e:7c:18:3b, eth_type=0x800
