ADD,ethernet_validate,0000000000000000;1;00000000,,0
ADD,ethernet,000000000000000000000000000001000011111100000110,100010110,0
ADD,ethernet,000000000000000000000000000001000100001011101111,100010111,0
ADD,ethernet,000000000000000000000000000001000100011011011000,100011000,0
ADD,ethernet,000000000000000000000000000001000100101011000001,100011001,0
ADD,ethernet,000000000000000000000000000001000100111010101010,100011010,0
ADD,ethernet,000000000000000000000000000001000101001010010011,100011011,0
ADD,ethernet,000000000000000000000000000001000101011001111100,100011100,0
ADD,ethernet,000000000000000000000000000001000101101001100101,100011101,0
ADD,ethernet,000000000000000000000000000001000101111001001110,100011110,0
ADD,ethernet,000000000000000000000000000001000110001000110111,100011111,0
ADD,ethernet,000000000000000000000000000001000110011000100000,100100000,0
ADD,ethernet,000000000000000000000000000001000110101000001001,100100001,0
ADD,ethernet,000000000000000000000000000001000110110111110010,100100010,0
ADD,ethernet,000000000000000000000000000001000111000111011011,100100011,0
ADD,ethernet,000000000000000000000000000001000111010111000100,100100100,0
ADD,ethernet,000000000000000000000000000001000111100110101101,100100101,0
ADD,ethernet,000000000000000000000000000001000111110110010110,100100110,0
ADD,ethernet,000000000000000000000000000001001000000101111111,100100111,0
ADD,ethernet,000000000000000000000000000001001000010101101000,100101000,0
ADD,ethernet,000000000000000000000000000001001000100101010001,100101001,0
ADD,ethernet,000000000000000000000000000001001000110100111010,100101010,0
ADD,ethernet,000000000000000000000000000001001001000100100011,100101011,0
ADD,ethernet,000000000000000000000000000001001001010100001100,100101100,0
ADD,ethernet,000000000000000000000000000001001001100011110101,100101101,0
ADD,ethernet,000000000000000000000000000001001001110011011110,100101110,0
ADD,ethernet,000000000000000000000000000001001010000011000111,100101111,0
ADD,ethernet,000000000000000000000000000001001010010010110000,100110000,0
ADD,ethernet,000000000000000000000000000001001010100010011001,100110001,0
ADD,ethernet,000000000000000000000000000001001010110010000010,100110010,0
ADD,ethernet,000000000000000000000000000001001011000001101011,100110011,0
ADD,ethernet,000000000000000000000000000001001011010001010100,100110100,0
ADD,ethernet,000000000000000000000000000001001011100000111101,100110101,0
ADD,ethernet,000000000000000000000000000001001011110000100110,100110110,0
ADD,ethernet,000000000000000000000000000001001100000000001111,100110111,0
ADD,ethernet,000000000000000000000000000001001100001111111000,100111000,0
ADD,ethernet,000000000000000000000000000001001100011111100001,100111001,0
ADD,ethernet,000000000000000000000000000001001100101111001010,100111010,0
ADD,ethernet,000000000000000000000000000001001100111110110011,100111011,0
ADD,ethernet,000000000000000000000000000001001101001110011100,100111100,0
ADD,ethernet,000000000000000000000000000001001101011110000101,100111101,0
ADD,ethernet,000000000000000000000000000001001101101101101110,100111110,0
ADD,ethernet,000000000000000000000000000001001101111101010111,100111111,0
ADD,ethernet,000000000000000000000000000001001110001101000000,101000000,0
ADD,ethernet,000000000000000000000000000001001110011100101001,101000001,0
ADD,ethernet,000000000000000000000000000001001110101100010010,101000010,0
ADD,ethernet,000000000000000000000000000001001110111011111011,101000011,0
ADD,ethernet,000000000000000000000000000001001111001011100100,101000100,0
ADD,ethernet,000000000000000000000000000001001111011011001101,101000101,0
ADD,ethernet,000000000000000000000000000001001111101010110110,101000110,0
ADD,ethernet,000000000000000000000000000001001111111010011111,101000111,0
ADD,ethernet,000000000000000000000000000001010000001010001000,101001000,0
ADD,ethernet,000000000000000000000000000001010000011001110001,101001001,0
ADD,ethernet,000000000000000000000000000001010000101001011010,101001010,0
ADD,ethernet,000000000000000000000000000001010000111001000011,101001011,0
ADD,ethernet,000000000000000000000000000001010001001000101100,101001100,0
ADD,ethernet,000000000000000000000000000001010001011000010101,101001101,0
ADD,ethernet,000000000000000000000000000001010001100111111110,101001110,0
ADD,ethernet,000000000000000000000000000001010001110111100111,101001111,0
ADD,ethernet,000000000000000000000000000001010010000111010000,101010000,0
ADD,ethernet,000000000000000000000000000001010010010110111001,101010001,0
ADD,ethernet,000000000000000000000000000001010010100110100010,101010010,0
ADD,ethernet,000000000000000000000000000001010010110110001011,101010011,0
ADD,ethernet,000000000000000000000000000001010011000101110100,101010100,0
ADD,ethernet,000000000000000000000000000001010011010101011101,101010101,0
ADD,ethernet,000000000000000000000000000001010011100101000110,101010110,0
ADD,ethernet,000000000000000000000000000001010011110100101111,101010111,0
ADD,ethernet,000000000000000000000000000001010100000100011000,101011000,0
ADD,ethernet,000000000000000000000000000001010100010100000001,101011001,0
ADD,ethernet,000000000000000000000000000001010100100011101010,101011010,0
ADD,ethernet,000000000000000000000000000001010100110011010011,101011011,0
ADD,ethernet,000000000000000000000000000001010101000010111100,101011100,0
ADD,ethernet,000000000000000000000000000001010101010010100101,101011101,0
ADD,ethernet,000000000000000000000000000001010101100010001110,101011110,0
ADD,ethernet,000000000000000000000000000001010101110001110111,101011111,0
ADD,ethernet,000000000000000000000000000001010110000001100000,101100000,0
ADD,ethernet,000000000000000000000000000001010110010001001001,101100001,0
ADD,ethernet,000000000000000000000000000001010110100000110010,101100010,0
ADD,ethernet,000000000000000000000000000001010110110000011011,101100011,0
ADD,ethernet,000000000000000000000000000001010111000000000100,101100100,0
ADD,ethernet,000000000000000000000000000001010111001111101101,101100101,0
ADD,ethernet,000000000000000000000000000001010111011111010110,101100110,0
ADD,ethernet,000000000000000000000000000001010111101110111111,101100111,0
ADD,ethernet,000000000000000000000000000001010111111110101000,101101000,0
ADD,ethernet,000000000000000000000000000001011000001110010001,101101001,0
ADD,ethernet,000000000000000000000000000001011000011101111010,101101010,0
ADD,ethernet,000000000000000000000000000001011000101101100011,101101011,0
ADD,ethernet,000000000000000000000000000001011000111101001100,101101100,0
ADD,ethernet,000000000000000000000000000001011001001100110101,101101101,0
ADD,ethernet,000000000000000000000000000001011001011100011110,101101110,0
ADD,ethernet,000000000000000000000000000001011001101100000111,101101111,0
ADD,ethernet,000000000000000000000000000001011001111011110000,101110000,0
ADD,ethernet,000000000000000000000000000001011010001011011001,101110001,0
ADD,ethernet,000000000000000000000000000001011010011011000010,101110010,0
ADD,ethernet,000000000000000000000000000001011010101010101011,101110011,0
ADD,ethernet,000000000000000000000000000001011010111010010100,101110100,0
ADD,ethernet,000000000000000000000000000001011011001001111101,101110101,0
ADD,ethernet,000000000000000000000000000001011011011001100110,101110110,0
ADD,ethernet,000000000000000000000000000001011011101001001111,101110111,0
ADD,ethernet,000000000000000000000000000001011011111000111000,101111000,0
ADD,ethernet,000000000000000000000000000001011100001000100001,101111001,0
ADD,ethernet,000000000000000000000000000001011100011000001010,101111010,0
ADD,ethernet,000000000000000000000000000001011100100111110011,101111011,0
ADD,ethernet,000000000000000000000000000001011100110111011100,101111100,0
ADD,ethernet,000000000000000000000000000001011101000111000101,101111101,0
ADD,ethernet,000000000000000000000000000001011101010110101110,101111110,0
ADD,ethernet,000000000000000000000000000001011101100110010111,101111111,0
ADD,ethernet,000000000000000000000000000001011101110110000000,110000000,0
ADD,ethernet,000000000000000000000000000001011110000101101001,110000001,0
ADD,ethernet,000000000000000000000000000001011110010101010010,110000010,0
ADD,ethernet,000000000000000000000000000001011110100100111011,110000011,0
ADD,ethernet,000000000000000000000000000001011110110100100100,110000100,0
ADD,ethernet,000000000000000000000000000001011111000100001101,110000101,0
ADD,ethernet,000000000000000000000000000001011111010011110110,110000110,0
ADD,ethernet,000000000000000000000000000001011111100011011111,110000111,0
ADD,ethernet,000000000000000000000000000001011111110011001000,110001000,0
ADD,ethernet,000000000000000000000000000001100000000010110001,110001001,0
ADD,ethernet,000000000000000000000000000001100000010010011010,110001010,0
ADD,ethernet,000000000000000000000000000001100000100010000011,110001011,0
ADD,ethernet,000000000000000000000000000001100000110001101100,110001100,0
ADD,ethernet,000000000000000000000000000001100001000001010101,110001101,0
ADD,ethernet,000000000000000000000000000001100001010000111110,110001110,0
ADD,ethernet,000000000000000000000000000001100001100000100111,110001111,0
ADD,ethernet,000000000000000000000000000001100001110000010000,110010000,0
ADD,ethernet,000000000000000000000000000001100001111111111001,110010001,0
ADD,ethernet,000000000000000000000000000001100010001111100010,110010010,0
ADD,ethernet,000000000000000000000000000001100010011111001011,110010011,0
ADD,ethernet,000000000000000000000000000001100010101110110100,110010100,0
ADD,ethernet,000000000000000000000000000001100010111110011101,110010101,0
ADD,ethernet,000000000000000000000000000001100011001110000110,110010110,0
ADD,ethernet,000000000000000000000000000001100011011101101111,110010111,0
ADD,ethernet,000000000000000000000000000001100011101101011000,110011000,0
ADD,ethernet,000000000000000000000000000001100011111101000001,110011001,0
ADD,ethernet,000000000000000000000000000001100100001100101010,110011010,0
ADD,ethernet,000000000000000000000000000001100100011100010011,110011011,0
ADD,ethernet,000000000000000000000000000001100100101011111100,110011100,0
ADD,ethernet,000000000000000000000000000001100100111011100101,110011101,0
ADD,ethernet,000000000000000000000000000001100101001011001110,110011110,0
ADD,ethernet,000000000000000000000000000001100101011010110111,110011111,0
ADD,ethernet,000000000000000000000000000001100101101010100000,110100000,0
ADD,ethernet,000000000000000000000000000001100101111010001001,110100001,0
ADD,ethernet,000000000000000000000000000001100110001001110010,110100010,0
ADD,ethernet,000000000000000000000000000001100110011001011011,110100011,0
ADD,ethernet,000000000000000000000000000001100110101001000100,110100100,0
ADD,ethernet,000000000000000000000000000001100110111000101101,110100101,0
ADD,ethernet,000000000000000000000000000001100111001000010110,110100110,0
ADD,ethernet,000000000000000000000000000001100111010111111111,110100111,0
ADD,ethernet,000000000000000000000000000001100111100111101000,110101000,0
ADD,ethernet,000000000000000000000000000001100111110111010001,110101001,0
ADD,ethernet,000000000000000000000000000001101000000110111010,110101010,0
ADD,ethernet,000000000000000000000000000001101000010110100011,110101011,0
ADD,ethernet,000000000000000000000000000001101000100110001100,110101100,0
ADD,ethernet,000000000000000000000000000001101000110101110101,110101101,0
ADD,ethernet,000000000000000000000000000001101001000101011110,110101110,0
ADD,ethernet,000000000000000000000000000001101001010101000111,110101111,0
ADD,ethernet,000000000000000000000000000001101001100100110000,110110000,0
ADD,ethernet,000000000000000000000000000001101001110100011001,110110001,0
ADD,ethernet,000000000000000000000000000001101010000100000010,110110010,0
ADD,ethernet,000000000000000000000000000001101010010011101011,110110011,0
